yanıt sayısı,yeniden gönderi sayısı,beğeni sayısı,yer işareti sayısı,görüntülenme sayısı,user_name,nick,date,Tweet,Tweet_Preprocessed,sentiment,score,Ner_results
321,2344,9393,129,87832,@liz_churchill10,Liz Churchill,59d,Home Depot cancels Olympics.,home depot cancel olymp,negative,0.749172568321228,"[{'entity': 'ORG', 'word': 'Home Depot'}]"
52,26,308,1,9079,@TheQuartering,TheQuartering,58d,"Let's say this ""chic"" in the Olympics isn't Trans and only an anomaly of nature where they benefit from testosterone coursing through their veins even though they are a ""woman""

Still shouldn't be allowed to compete against women. It's no different than a woman on steroids.",let say this chic in the olymp isnt tran and onli an anomali of natur where they benefit from testosteron cours through their vein even though they are a woman still shouldnt be allow to compet against women it no differ than a woman on steroid,negative,0.5274340510368347,"[{'entity': 'MISC', 'word': 'Olympics'}]"
36,38,206,1,11446,@TimRunsHisMouth,Tim Young,59d,"While we're all worried about men beating women in the Olympics...

Don't forget Britney Griner wants to be called ""pops.""",while were all worri about men beat women in the olymp dont forget britney griner want to be call pop,neutral,0.5650961995124817,"[{'entity': 'MISC', 'word': 'Olympics'}, {'entity': 'PER', 'word': 'B'}, {'entity': 'PER', 'word': '##rit'}]"
8,34,296,5,30883,@NBCSports,NBC Sports,1 sa,Suni Lee’s support system is what the Olympics is all about.  #ParisOlympics,suni lee support system is what the olymp is all about,positive,0.7934119701385498,"[{'entity': 'PER', 'word': 'Suni Lee'}, {'entity': 'MISC', 'word': 'Olympics'}]"
36,38,207,1,11466,@TimRunsHisMouth,Tim Young,59d,"While we're all worried about men beating women in the Olympics...

Don't forget Britney Griner wants to be called ""pops.""",while were all worri about men beat women in the olymp dont forget britney griner want to be call pop,neutral,0.5650961995124817,"[{'entity': 'MISC', 'word': 'Olympics'}, {'entity': 'PER', 'word': 'B'}, {'entity': 'PER', 'word': '##rit'}]"
95,165,678,2,6715,@Chicago1Ray,@Chicago1Ray,1 sa,"Would you pay to see Mike Tyson box that Olympic guy, and all proceeds go to battered women charities... I know I would",would you pay to see mike tyson box that olymp guy and all proceed go to batter women chariti i know i would,neutral,0.6124721169471741,"[{'entity': 'PER', 'word': 'Mike Tyson'}]"
17,63,602,7,21586,@NBCOlympics,NBC Olympics & Paralympics,1 sa,Caeleb Dressel will defend his Olympic 50m freestyle title for a potential NINTH career Olympic gold medal.  #ParisOlympics,caeleb dressel will defend his olymp 50m freestyl titl for a potenti ninth career olymp gold medal,neutral,0.6449414491653442,"[{'entity': 'PER', 'word': 'Caeleb Dressel'}, {'entity': 'MISC', 'word': 'Olympic'}, {'entity': 'MISC', 'word': 'Olympic'}]"
92,36,838,3,29778,@michaelianblack,Michael Ian Black,1 sa,Are people from other countries attacking female Olympic athletes or is it just here?,are peopl from other countri attack femal olymp athlet or is it just here,neutral,0.8673304915428162,[]
7,23,239,9,124220,@NBCOlympics,NBC Olympics & Paralympics,1 sa,"The crowd was absolutely ELECTRIC after Suni Lee's uneven bars routine. 

 #ParisOlympics on NBC and Peacock",the crowd was absolut electr after suni lee uneven bar routin on nbc and peacock,neutral,0.7097220420837402,"[{'entity': 'PER', 'word': 'Sun'}, {'entity': 'PER', 'word': '##i Lee'}, {'entity': 'MISC', 'word': 'ParisOlympics'}, {'entity': 'ORG', 'word': 'NBC'}]"
11,30,168,2,12030,@jsolomonReports,John Solomon,1 sa,Kaitlynn Wheeler: Watching Olympic female boxer bow out of fight against male was heartbreaking,kaitlynn wheeler watch olymp femal boxer bow out of fight against male was heartbreak,negative,0.7244037389755249,"[{'entity': 'PER', 'word': 'Kai'}, {'entity': 'PER', 'word': '##tlynn Wheeler'}]"
19,16,274,4,8811,@Oilfield_Rando,Oilfield Rando,1 sa,Turkish divorced deadeye dad single-handedly salvaged the Olympics,turkish divorc deadey dad singlehand salvag the olymp,neutral,0.8679547905921936,"[{'entity': 'MISC', 'word': 'Turkish'}]"
10,45,519,3,10506,@davidmackau,David Mack,1 sa,i honestly don’t remember past olympics becoming such fodder for the culture wars. a real sign of how exhausting everything is becoming,i honest dont rememb past olymp becom such fodder for the cultur war a real sign of how exhaust everyth is becom,negative,0.901005208492279,[]
30,74,542,8,14895,@TheKaylaBecker,Kayla Becker,1 sa,"Imane Khelif was born a woman with a vagina. She is not trans or a born male. There are other issues at hand when competing, including her testosterone levels, but let’s keep it to that. Not that a trans woman is beating up a cis woman at the Olympics. Please do your research.",iman khelif was born a woman with a vagina she is not tran or a born male there are other issu at hand when compet includ her testosteron level but let keep it to that not that a tran woman is beat up a cis woman at the olymp pleas do your research,neutral,0.5529853701591492,"[{'entity': 'PER', 'word': 'I'}, {'entity': 'PER', 'word': '##mane Khelif'}]"
5,5,180,1,2841,@ChrisWozney,Chris Wozney,1 sa,"Why is MAGA so insistent that a Presidential candidate needs to comment on something happening in another country?  The USA doesn’t run the 
@Olympics
.",whi is maga so insist that a presidenti candid need to comment on someth happen in anoth countri the usa doesnt run the,negative,0.6809860467910767,"[{'entity': 'ORG', 'word': 'MAGA'}, {'entity': 'LOC', 'word': 'USA'}]"
39,23,351,5,9354,@luisjgomez,Luis J. Gomez,1 sa,"To be fair, I’ve seen men punch women for a lot less than Olympic gold",to be fair ive seen men punch women for a lot less than olymp gold,negative,0.5528312921524048,[]
56,152,1026,2,20772,@TimRunsHisMouth,Tim Young,1 sa,Why didn't someone tell me that Colin Kaepernick was in the Olympics?,whi didnt someon tell me that colin kaepernick was in the olymp,neutral,0.8197224736213684,"[{'entity': 'PER', 'word': 'Colin Kaepernick'}]"
28,45,188,8,40089,@NYCMayor,Mayor Eric Adams,1 sa,"New York City is the Olympic Village of the world.

Tonight, we lit up City Hall in red, white, and blue to celebrate New York's own Lauren Scruggs and 
@TeamUSA
 fencing making history — among the many outstanding Americans making us so proud at the #ParisOlympics this summer. ",new york citi is the olymp villag of the world tonight we lit up citi hall in red white and blue to celebr new york own lauren scrugg and fenc make histori among the mani outstand american make us so proud at the this summer,positive,0.9708789587020874,"[{'entity': 'LOC', 'word': 'New York City'}, {'entity': 'MISC', 'word': 'Olympic Village'}, {'entity': 'LOC', 'word': 'City Hall'}, {'entity': 'LOC', 'word': 'New York'}, {'entity': 'PER', 'word': 'Lauren Scruggs'}, {'entity': 'ORG', 'word': '@'}, {'entity': 'ORG', 'word': 'TeamUSA'}, {'entity': 'MISC', 'word': 'Americans'}]"
23,180,501,10,4847,@RyanShead,Ryan Shead,1 sa,"Olympic boxer Imane Khelif is a woman. She has a medical condition, she's not a transgender athlete. Go educate yourself on Swyer Syndrome before speaking on things you know nothing about. 

Elon Musk proves once again that he isn’t even intelligent enough to grasp basic scientific evidence and diagnosis.

I see why his daughter disowned him.",olymp boxer iman khelif is a woman she has a medic condit shes not a transgend athlet go educ yourself on swyer syndrom befor speak on thing you know noth about elon musk prove onc again that he isnt even intellig enough to grasp basic scientif evid and diagnosi i see whi his daughter disown him,negative,0.5408005118370056,"[{'entity': 'MISC', 'word': 'Olympic'}, {'entity': 'PER', 'word': 'I'}, {'entity': 'PER', 'word': '##mane Khelif'}, {'entity': 'MISC', 'word': 'Swyer Syndrome'}]"
12,49,379,29,199147,@NBCOlympics,NBC Olympics & Paralympics,1 sa,"UNREAL vault from Simone Biles. 

 #ParisOlympics on NBC and Peacock",unreal vault from simon bile on nbc and peacock,neutral,0.7387267351150513,"[{'entity': 'ORG', 'word': 'UNREAL'}, {'entity': 'PER', 'word': 'Simone Biles'}, {'entity': 'MISC', 'word': 'ParisOlympics'}, {'entity': 'ORG', 'word': 'NBC'}]"
13,25,195,1,8891,@KennedyNation,Kennedy,1 sa,"Simone Biles is a goddess, but the Paris part of the Olympics is crap. Here’s my latest for 
@DailyMail
 :",simon bile is a goddess but the pari part of the olymp is crap here my latest for,negative,0.8986033797264099,"[{'entity': 'PER', 'word': 'Simone Biles'}, {'entity': 'LOC', 'word': 'Paris'}, {'entity': 'MISC', 'word': 'Olympics'}]"
43,703,2209,29,28195,@nicksortor,Nick Sortor,1 sa," @Riley_Gaines_
 just ROASTED Democrat “leaders” and the Olympic Committee, calling them “weak-kneed, spineless, morally bankrupt cowards” for supporting women being beat up by men

And that’s putting it nicely.

Keep fighting, Riley! ",just roast democrat leader and the olymp committe call them weakkne spineless moral bankrupt coward for support women be beat up by men and that put it nice keep fight riley,negative,0.8373937606811523,"[{'entity': 'PER', 'word': 'Riley Gaines'}, {'entity': 'MISC', 'word': 'Democrat'}, {'entity': 'MISC', 'word': 'Olympic Committee'}]"
12,29,196,3,3122,@NGrossman81,Nicholas Grossman,1 sa,"Normal people: Wow, those gymnasts got really high up and flipped around a lot. Cool.

Other normal people: I'm not really into the Olympics.

MAGA: I demand Kamala Harris comment on an Algerian athlete in a relatively obscure sport who is, for purposes of me being angry, trans.",normal peopl wow those gymnast got realli high up and flip around a lot cool other normal peopl im not realli into the olymp maga i demand kamala harri comment on an algerian athlet in a relat obscur sport who is for purpos of me be angri tran,neutral,0.5076572895050049,"[{'entity': 'MISC', 'word': 'Olympics'}, {'entity': 'PER', 'word': 'Kamala Harris'}]"
4,14,388,3,13793,@gldivittorio,GL,1 sa,"Incredibly funny to cry about getting hit really hard in an olympic boxing match 

(Imane Lhelif is a cis, non-intersex woman)",incred funni to cri about get hit realli hard in an olymp box match iman lhelif is a cis nonintersex woman,negative,0.551953911781311,[]
4,14,389,3,13822,@gldivittorio,GL,1 sa,"Incredibly funny to cry about getting hit really hard in an olympic boxing match 

(Imane Lhelif is a cis, non-intersex woman)",incred funni to cri about get hit realli hard in an olymp box match iman lhelif is a cis nonintersex woman,negative,0.551953911781311,[]
58,30,319,4,68872,@RGIII,Robert Griffin III,1 sa,Simone Biles now has the most Olympic Gold Medals in America History with 6 after winning her second Olympic All-Around Gold.,simon bile now has the most olymp gold medal in america histori with 6 after win her second olymp allaround gold,positive,0.8316226601600647,"[{'entity': 'PER', 'word': 'Simone Biles'}, {'entity': 'MISC', 'word': 'Olympic Gold Medal'}, {'entity': 'LOC', 'word': 'America'}]"
7,31,214,3,11762,@ElectionWiz,Election Wizard,1 sa,"NEW: Trump Reacts To Olympic Controversy: ""Insane And Unfair Reality""",new trump react to olymp controversi insan and unfair realiti,negative,0.802504301071167,"[{'entity': 'PER', 'word': 'Trump'}]"
40,160,1662,65,49101,@Lesdoggg,Leslie Jones,1 sa,My love for the Olympics started when I was 10 YEARS OLD!!! #olympics2024,my love for the olymp start when i was 10 year old,positive,0.7907307744026184,[]
106,233,1308,21,42587,@TaraBull808,TaraBull,1 sa,Good luck Michaela Tyson who fights tonight in the female Olympic boxing final ,good luck michaela tyson who fight tonight in the femal olymp box final,positive,0.9249677062034607,"[{'entity': 'PER', 'word': 'Michaela Tyson'}]"
138,72,162,3,87169,@nypost,New York Post,1 sa,Dan Orlovsky deletes ‘Protect our daughters’ post as Olympics’ Imane Khelif debate continues https://trib.al/JnME4Vb,dan orlovski delet protect our daughter post as olymp iman khelif debat continu,neutral,0.7394502758979797,"[{'entity': 'PER', 'word': 'Dan Orlovsky'}, {'entity': 'MISC', 'word': 'Olympics'}]"
139,72,162,3,87169,@nypost,New York Post,1 sa,Dan Orlovsky deletes ‘Protect our daughters’ post as Olympics’ Imane Khelif debate continues https://trib.al/JnME4Vb,dan orlovski delet protect our daughter post as olymp iman khelif debat continu,neutral,0.7394502758979797,"[{'entity': 'PER', 'word': 'Dan Orlovsky'}, {'entity': 'MISC', 'word': 'Olympics'}]"
800,260,661,83,207892,@Acyn,Acyn,1 sa,Watters: You have a female nominee for president and this is one of the biggest gender controversies of the year in the olympics and Kamala Harris hasn't said anything and she hasn't even been asked about it and that's a cover-up and that's a real shame.,watter you have a femal nomine for presid and this is one of the biggest gender controversi of the year in the olymp and kamala harri hasnt said anyth and she hasnt even been ask about it and that a coverup and that a real shame,negative,0.7682917714118958,"[{'entity': 'PER', 'word': 'Watters'}, {'entity': 'PER', 'word': 'Kamal'}]"
8,38,297,13,210534,@NBCOlympics,NBC Olympics & Paralympics,1 sa,"WHAT a vault from Brazil's Rebeca Andrade! 

 #ParisOlympics on NBC and Peacock",what a vault from brazil rebeca andrad on nbc and peacock,positive,0.847952127456665,"[{'entity': 'LOC', 'word': 'Brazil'}, {'entity': 'PER', 'word': 'Rebe'}, {'entity': 'PER', 'word': '##ca Andrade'}, {'entity': 'MISC', 'word': 'ParisOlympics'}, {'entity': 'ORG', 'word': 'NBC'}]"
23,105,220,13,6119,@maddenifico,Bill Madden,1 sa,"Due to X being a cesspool of far-right ignorance and hate, woman boxer from Algeria Imane Khelif is accused of being a biological man. As is usually the case, a mob of insecure small dick energy MAGA-morons are marginalizing a woman who worked her ass off to get to the Olympics.",due to x be a cesspool of farright ignor and hate woman boxer from algeria iman khelif is accus of be a biolog man as is usual the case a mob of insecur small dick energi magamoron are margin a woman who work her ass off to get to the olymp,negative,0.8192219734191895,"[{'entity': 'ORG', 'word': 'X'}, {'entity': 'LOC', 'word': 'Algeria'}, {'entity': 'PER', 'word': 'I'}, {'entity': 'PER', 'word': '##mane Khelif'}, {'entity': 'MISC', 'word': 'MAGA'}]"
99,119,523,26,18496,@LuckyMcGee,𝕃𝕦𝕔𝕜𝕪 Ƒʉͫcͧкͭιͪηͣ 𝕄𝕔𝔾𝕖𝕖,1 sa,"Karate fighter gets disqualified out of Olympic gold medal match for “hitting too hard.""  The gold medal will be given to the guy who is knocked out?? Everything is stupid in 2024. ",karat fighter get disqualifi out of olymp gold medal match for hit too hard the gold medal will be given to the guy who is knock out everyth is stupid in 2024,negative,0.8311994671821594,"[{'entity': 'MISC', 'word': 'Karate'}]"
6,39,202,1,9147,@TPostMillennial,The Post Millennial,1 sa,".
@Timcast
 on Paris Olympics boxing scandal: ""I'm going to try to be as offensive to literally everybody as possible…I do not stand with anybody who supports men fighting women.""",on pari olymp box scandal im go to tri to be as offens to liter everybodi as possiblei do not stand with anybodi who support men fight women,negative,0.8368626236915588,[]
18,15,308,15,2686,@DaliaOfArabia,DaliaOfArabia,1 sa,Name one country that sucks in the Olympics so far ,name one countri that suck in the olymp so far,negative,0.887683093547821,[]
33,10,334,13,12209,@BenTheBaneDavis,Ben Davis,1 sa,Here's the facts. The Olympics didn't test this boxer for political reasons. This boxer has failed a gender test in the past. The boxer may be intersex.. This situation was created because the Olympics failed their athletes and their fans out of political wokeness.,here the fact the olymp didnt test this boxer for polit reason this boxer has fail a gender test in the past the boxer may be intersex this situat was creat becaus the olymp fail their athlet and their fan out of polit woke,negative,0.6943987607955933,"[{'entity': 'MISC', 'word': 'Olympics'}]"
10,17,196,4,25655,@NBCOlympics,NBC Olympics & Paralympics,1 sa,Justin Best's brother was PUMPED for him and his team winning gold in men's four rowing!  #ParisOlympics,justin best brother was pump for him and his team win gold in men four row,positive,0.9727922081947327,"[{'entity': 'PER', 'word': 'Justin Best'}]"
27,76,704,7,14029,@ZachWLambert,Zach W. Lambert,1 sa,The Venn diagram of people who are supposedly boycotting the Olympics because of the Opening Ceremonies and the people who are misgendering Imane Khelif is just a circle.,the venn diagram of peopl who are suppos boycot the olymp becaus of the open ceremoni and the peopl who are misgend iman khelif is just a circl,negative,0.7058987021446228,"[{'entity': 'PER', 'word': 'V'}, {'entity': 'MISC', 'word': 'Olympics'}, {'entity': 'MISC', 'word': 'Opening Ceonies'}]"
23,48,500,17,403266,@NBCOlympics,NBC Olympics & Paralympics,1 sa,"17-YEAR-OLD Summer McIntosh clocks an Olympic record for Olympic glory in the women's 200m fly! 

It's an American record for Regan Smith who earns silver for the U.S. 

 #ParisOlympics on NBC and Peacock",17yearold summer mcintosh clock an olymp record for olymp glori in the women 200m fli it an american record for regan smith who earn silver for the us on nbc and peacock,neutral,0.6798571348190308,"[{'entity': 'PER', 'word': 'Summer'}, {'entity': 'PER', 'word': 'McIntosh'}, {'entity': 'MISC', 'word': 'Olympic'}, {'entity': 'MISC', 'word': 'Olympic'}, {'entity': 'MISC', 'word': 'American'}, {'entity': 'PER', 'word': 'Regan Smith'}, {'entity': 'LOC', 'word': 'U S'}, {'entity': 'MISC', 'word': 'ParisOlympics'}, {'entity': 'ORG', 'word': 'NBC'}]"
4,82,478,5,19237,@ParkerMolloy,Parker Molloy,1 sa,"All this, despite there not being any trans women at the Olympics. It's truly something.",all this despit there not be ani tran women at the olymp it truli someth,negative,0.6710970997810364,[]
27,164,1574,645,113099,@mitchgoldich,Mitch Goldich,1 sa,"My Day 7 Olympics viewing guide! A monster day. The big stuff is easy to see.

But also: I unironically love trampoline, and this is the only day to see it. And French judo legend Teddy Riner competes. And hello, kayak cross!

#Paris2024",my day 7 olymp view guid a monster day the big stuff is easi to see but also i uniron love trampolin and this is the onli day to see it and french judo legend teddi riner compet and hello kayak cross,positive,0.9798136353492737,"[{'entity': 'MISC', 'word': 'Olympics'}, {'entity': 'MISC', 'word': 'French'}, {'entity': 'PER', 'word': 'Teddy Riner'}]"
18,145,467,5,4865,@shipwreckshow,Shipwreck,1 sa,"If ever was a photo to define 2024 Olympics. 

It's this one.",if ever was a photo to defin 2024 olymp it this one,neutral,0.45935460925102234,"[{'entity': 'MISC', 'word': '202'}]"
11,47,162,49,40018,@JeffDLowe,Jeff D. Lowe,2s,"#Paris2024 Viewing Schedule

TOMORROW (8/2)
Day 9 (300a-435p):
#Swimming
- Dressel in 50m Free
- Regan Smith looks for #Gold
Men's Soccer
- USA vs. Morocco in QF
#Athletics begins
- Sha'Carri first 100m Heats
#BMXRacing
- Men/Women Finals
- MUST-WATCH!

#Olympics #TeamUSA",view schedul tomorrow 82 day 9 300a435p dressel in 50m free regan smith look for men soccer usa vs morocco in qf begin shacarri first 100m heat menwomen final mustwatch,neutral,0.8693018555641174,"[{'entity': 'LOC', 'word': 'Paris'}, {'entity': 'PER', 'word': 'Dress'}, {'entity': 'PER', 'word': '##el'}, {'entity': 'PER', 'word': 'Regan Smith'}, {'entity': 'LOC', 'word': 'USA'}, {'entity': 'LOC', 'word': 'Morocco'}, {'entity': 'PER', 'word': ""Sha ' Carri""}, {'entity': 'MISC', 'word': 'Olympics'}]"
13,185,984,19,40035,@NBCOlympics,NBC Olympics & Paralympics,2s,U.S. women's foil makes history by bringing home the first-ever team GOLD!  #ParisOlympics,us women foil make histori by bring home the firstev team gold,positive,0.724865198135376,"[{'entity': 'LOC', 'word': 'U S .'}]"
11,76,711,7,22133,@NBCOlympics,NBC Olympics & Paralympics,2s,Regan Smith secures her 4th career SILVER in the Women’s 200m Butterfly Final Results!  #ParisOlympics,regan smith secur her 4th career silver in the women 200m butterfli final result,neutral,0.7153769731521606,"[{'entity': 'PER', 'word': 'Regan Smith'}, {'entity': 'MISC', 'word': 'Butterfly'}]"
2,12,233,1,458,@lily49547397,エレガント,2s,"此処に明日はある
　   此処に希望はある…
#Olympics 
#素敵な奮闘途中の人々
#穏やか奮闘途中の日々",此処に明日はある 此処に希望はある,neutral,0.8063896894454956,[]
169,223,969,57,91129,@ShaykhSulaiman,Sulaiman Ahmed,2s,"IN THE 2020 OLYMPICS IMANE KHELIF LOST TO IRISH BOXER KELLIE HARRINGTON IN THE QUARTER FINAL

No one complained and said it’s a man and shouldn’t box. 

Why?",in the 2020 olymp iman khelif lost to irish boxer kelli harrington in the quarter final no one complain and said it a man and shouldnt box whi,negative,0.5075101852416992,"[{'entity': 'PER', 'word': 'K'}, {'entity': 'MISC', 'word': 'IRISH'}]"
10,87,1257,4,44808,@midwestern_ope,Midwest vs. Everybody,2s,Midwesterners if memorizing pothole locations was an Olympic sport,midwestern if memor pothol locat was an olymp sport,neutral,0.7944217324256897,"[{'entity': 'LOC', 'word': 'Midwest'}]"
35,121,780,30,14161,@LiviesHQ,olivia’s livies,2s,"our perfect all-american olympic medalist 
@sunisalee_
 ",our perfect allamerican olymp medalist,positive,0.9290364980697632,[]
6,18,270,1,5257,@SilentGarrett,gaz,2s,good to see everyone is enjoying the olympics in a totally normal way ,good to see everyon is enjoy the olymp in a total normal way,positive,0.9075130820274353,[]
78,340,1993,135,113893,@nntaleb,Nassim Nicholas Taleb,2s,"One has to be pretty unworldly to believe that a Sunni Muslim country would send a trans to the Olympics.

The same unworldy #idiots comment on genocide, geopolitics, and world affairs.",one has to be pretti unworld to believ that a sunni muslim countri would send a tran to the olymp the same unworldi comment on genocid geopolit and world affair,neutral,0.49432656168937683,"[{'entity': 'MISC', 'word': 'Sunni Muslim'}]"
68,31,738,29,4933,@DaliaOfArabia,DaliaOfArabia,2s,"What’s your favorite sport at the Olympics 2024 in Paris, France?  #Paris2024",what your favorit sport at the olymp 2024 in pari franc,neutral,0.6991684436798096,"[{'entity': 'MISC', 'word': 'Olympics'}, {'entity': 'LOC', 'word': 'Paris'}, {'entity': 'LOC', 'word': 'France'}]"
68,31,740,29,4933,@DaliaOfArabia,DaliaOfArabia,2s,"What’s your favorite sport at the Olympics 2024 in Paris, France?  #Paris2024",what your favorit sport at the olymp 2024 in pari franc,neutral,0.6991684436798096,"[{'entity': 'MISC', 'word': 'Olympics'}, {'entity': 'LOC', 'word': 'Paris'}, {'entity': 'LOC', 'word': 'France'}]"
7,27,445,9,6692,@DjokovicFan_,Danny,2s,"Novak Djokovic congratulates Donna Vekic and Zheng Qinwen for making the Olympic final.

Novak classy as always. ",novak djokov congratul donna vekic and zheng qinwen for make the olymp final novak classi as alway,positive,0.5572073459625244,"[{'entity': 'PER', 'word': 'Novak Djokovic'}, {'entity': 'PER', 'word': 'Donna Vekic'}, {'entity': 'PER', 'word': 'Zheng Qinwen'}, {'entity': 'MISC', 'word': 'Olympic'}]"
6,27,331,4,10964,@TeamCanada,Team Canada,2s,"A fall at the Olympics might discourage most, but not 
@EllieBlack_
. 

 Despite a fall on the beam in the individual all-around, she finished sixth for Canada’s second-best Olympic result ever in the event. 

 Here’s her take on perseverance ",a fall at the olymp might discourag most but not despit a fall on the beam in the individu allaround she finish sixth for canada secondbest olymp result ever in the event here her take on persever,neutral,0.5715287923812866,"[{'entity': 'MISC', 'word': 'Olympics'}, {'entity': 'PER', 'word': 'EllieBla'}, {'entity': 'LOC', 'word': 'Canada'}]"
5,52,543,11,4696,@conureCC,conure,2s,conservatives upon seeing a biological woman in the olympics that looks too masculine for their tastes:,conserv upon see a biolog woman in the olymp that look too masculin for their tast,negative,0.7198495864868164,[]
2,64,298,14,6162,@FentyHeadlines,Fenty Headlines,2s,"Simone Biles (
@Simone_Biles
) was once again spotted using Rihanna's products at the #Olympics, this time Fenty Skin’s Fenty Treatz Hydrating + Strengthening Lip Oil  

 Jamie Squire",simon bile was onc again spot use rihanna product at the this time fenti skin fenti treatz hydrat strengthen lip oil jami squir,neutral,0.8673141598701477,"[{'entity': 'PER', 'word': 'Simone Biles'}, {'entity': 'PER', 'word': 'Simone Biles'}, {'entity': 'PER', 'word': 'Rihanna'}, {'entity': 'MISC', 'word': '#'}, {'entity': 'MISC', 'word': 'Olympics'}, {'entity': 'ORG', 'word': 'Fenty Skin'}, {'entity': 'MISC', 'word': 'Fenty Trea'}]"
3,26,260,34,5838,@Ic3Evaa,2 Cold Scorpio,2s,"""Imagine training your whole life for the Olympics just to have a ma-""",imagin train your whole life for the olymp just to have a ma,neutral,0.7003996968269348,[]
58,21,458,1,2968,@michelle_byoung,Michelle_BYoung,2s,We’re still Frenching it up in honor of the Olympics homemade quiches made by me! Shrimp & feta and spinach & cream cheese! Yum!,were still french it up in honor of the olymp homemad quich made by me shrimp feta and spinach cream chees yum,positive,0.8753880262374878,"[{'entity': 'MISC', 'word': 'French'}]"
