,yanıt sayısı,yeniden gönderi sayısı,beğeni sayısı,yer işareti sayısı,görüntülenme sayısı,user_name,nick,date,Tweet
19,52,26,308,1,9079,@TheQuartering,TheQuartering,58d,"Let's say this ""chic"" in the Olympics isn't Trans and only an anomaly of nature where they benefit from testosterone coursing through their veins even though they are a ""woman""

Still shouldn't be allowed to compete against women. It's no different than a woman on steroids."
20,36,38,206,1,11446,@TimRunsHisMouth,Tim Young,59d,"While we're all worried about men beating women in the Olympics...

Don't forget Britney Griner wants to be called ""pops."""
21,8,34,296,5,30883,@NBCSports,NBC Sports,1 sa,Suni Lee’s support system is what the Olympics is all about.  #ParisOlympics
22,36,38,207,1,11466,@TimRunsHisMouth,Tim Young,59d,"While we're all worried about men beating women in the Olympics...

Don't forget Britney Griner wants to be called ""pops."""
24,95,165,678,2,6715,@Chicago1Ray,@Chicago1Ray,1 sa,"Would you pay to see Mike Tyson box that Olympic guy, and all proceeds go to battered women charities... I know I would"
25,17,63,602,7,21586,@NBCOlympics,NBC Olympics & Paralympics,1 sa,Caeleb Dressel will defend his Olympic 50m freestyle title for a potential NINTH career Olympic gold medal.  #ParisOlympics
26,92,36,838,3,29778,@michaelianblack,Michael Ian Black,1 sa,Are people from other countries attacking female Olympic athletes or is it just here?
27,7,23,239,9,124220,@NBCOlympics,NBC Olympics & Paralympics,1 sa,"The crowd was absolutely ELECTRIC after Suni Lee's uneven bars routine. 

 #ParisOlympics on NBC and Peacock"
28,11,30,168,2,12030,@jsolomonReports,John Solomon,1 sa,Kaitlynn Wheeler: Watching Olympic female boxer bow out of fight against male was heartbreaking
29,19,16,274,4,8811,@Oilfield_Rando,Oilfield Rando,1 sa,Turkish divorced deadeye dad single-handedly salvaged the Olympics
30,10,45,519,3,10506,@davidmackau,David Mack,1 sa,i honestly don’t remember past olympics becoming such fodder for the culture wars. a real sign of how exhausting everything is becoming
31,30,74,542,8,14895,@TheKaylaBecker,Kayla Becker,1 sa,"Imane Khelif was born a woman with a vagina. She is not trans or a born male. There are other issues at hand when competing, including her testosterone levels, but let’s keep it to that. Not that a trans woman is beating up a cis woman at the Olympics. Please do your research."
32,5,5,180,1,2841,@ChrisWozney,Chris Wozney,1 sa,"Why is MAGA so insistent that a Presidential candidate needs to comment on something happening in another country?  The USA doesn’t run the 
@Olympics
."
33,39,23,351,5,9354,@luisjgomez,Luis J. Gomez,1 sa,"To be fair, I’ve seen men punch women for a lot less than Olympic gold"
34,56,152,1026,2,20772,@TimRunsHisMouth,Tim Young,1 sa,Why didn't someone tell me that Colin Kaepernick was in the Olympics?
36,28,45,188,8,40089,@NYCMayor,Mayor Eric Adams,1 sa,"New York City is the Olympic Village of the world.

Tonight, we lit up City Hall in red, white, and blue to celebrate New York's own Lauren Scruggs and 
@TeamUSA
 fencing making history — among the many outstanding Americans making us so proud at the #ParisOlympics this summer. "
37,23,180,501,10,4847,@RyanShead,Ryan Shead,1 sa,"Olympic boxer Imane Khelif is a woman. She has a medical condition, she's not a transgender athlete. Go educate yourself on Swyer Syndrome before speaking on things you know nothing about. 

Elon Musk proves once again that he isn’t even intelligent enough to grasp basic scientific evidence and diagnosis.

I see why his daughter disowned him."
38,12,49,379,29,199147,@NBCOlympics,NBC Olympics & Paralympics,1 sa,"UNREAL vault from Simone Biles. 

 #ParisOlympics on NBC and Peacock"
39,13,25,195,1,8891,@KennedyNation,Kennedy,1 sa,"Simone Biles is a goddess, but the Paris part of the Olympics is crap. Here’s my latest for 
@DailyMail
 :"
40,43,703,2209,29,28195,@nicksortor,Nick Sortor,1 sa," @Riley_Gaines_
 just ROASTED Democrat “leaders” and the Olympic Committee, calling them “weak-kneed, spineless, morally bankrupt cowards” for supporting women being beat up by men

And that’s putting it nicely.

Keep fighting, Riley! "
41,12,29,196,3,3122,@NGrossman81,Nicholas Grossman,1 sa,"Normal people: Wow, those gymnasts got really high up and flipped around a lot. Cool.

Other normal people: I'm not really into the Olympics.

MAGA: I demand Kamala Harris comment on an Algerian athlete in a relatively obscure sport who is, for purposes of me being angry, trans."
42,4,14,388,3,13793,@gldivittorio,GL,1 sa,"Incredibly funny to cry about getting hit really hard in an olympic boxing match 

(Imane Lhelif is a cis, non-intersex woman)"
43,4,14,389,3,13822,@gldivittorio,GL,1 sa,"Incredibly funny to cry about getting hit really hard in an olympic boxing match 

(Imane Lhelif is a cis, non-intersex woman)"
44,58,30,319,4,68872,@RGIII,Robert Griffin III,1 sa,Simone Biles now has the most Olympic Gold Medals in America History with 6 after winning her second Olympic All-Around Gold.
45,7,31,214,3,11762,@ElectionWiz,Election Wizard,1 sa,"NEW: Trump Reacts To Olympic Controversy: ""Insane And Unfair Reality"""
46,40,160,1662,65,49101,@Lesdoggg,Leslie Jones,1 sa,My love for the Olympics started when I was 10 YEARS OLD!!! #olympics2024
47,106,233,1308,21,42587,@TaraBull808,TaraBull,1 sa,Good luck Michaela Tyson who fights tonight in the female Olympic boxing final 
48,138,72,162,3,87169,@nypost,New York Post,1 sa,Dan Orlovsky deletes ‘Protect our daughters’ post as Olympics’ Imane Khelif debate continues https://trib.al/JnME4Vb
49,139,72,162,3,87169,@nypost,New York Post,1 sa,Dan Orlovsky deletes ‘Protect our daughters’ post as Olympics’ Imane Khelif debate continues https://trib.al/JnME4Vb
50,800,260,661,83,207892,@Acyn,Acyn,1 sa,Watters: You have a female nominee for president and this is one of the biggest gender controversies of the year in the olympics and Kamala Harris hasn't said anything and she hasn't even been asked about it and that's a cover-up and that's a real shame.
51,8,38,297,13,210534,@NBCOlympics,NBC Olympics & Paralympics,1 sa,"WHAT a vault from Brazil's Rebeca Andrade! 

 #ParisOlympics on NBC and Peacock"
52,23,105,220,13,6119,@maddenifico,Bill Madden,1 sa,"Due to X being a cesspool of far-right ignorance and hate, woman boxer from Algeria Imane Khelif is accused of being a biological man. As is usually the case, a mob of insecure small dick energy MAGA-morons are marginalizing a woman who worked her ass off to get to the Olympics."
53,99,119,523,26,18496,@LuckyMcGee,𝕃𝕦𝕔𝕜𝕪 Ƒʉͫcͧкͭιͪηͣ 𝕄𝕔𝔾𝕖𝕖,1 sa,"Karate fighter gets disqualified out of Olympic gold medal match for “hitting too hard.""  The gold medal will be given to the guy who is knocked out?? Everything is stupid in 2024. "
54,6,39,202,1,9147,@TPostMillennial,The Post Millennial,1 sa,".
@Timcast
 on Paris Olympics boxing scandal: ""I'm going to try to be as offensive to literally everybody as possible…I do not stand with anybody who supports men fighting women."""
55,18,15,308,15,2686,@DaliaOfArabia,DaliaOfArabia,1 sa,Name one country that sucks in the Olympics so far 
56,33,10,334,13,12209,@BenTheBaneDavis,Ben Davis,1 sa,Here's the facts. The Olympics didn't test this boxer for political reasons. This boxer has failed a gender test in the past. The boxer may be intersex.. This situation was created because the Olympics failed their athletes and their fans out of political wokeness.
57,10,17,196,4,25655,@NBCOlympics,NBC Olympics & Paralympics,1 sa,Justin Best's brother was PUMPED for him and his team winning gold in men's four rowing!  #ParisOlympics
59,27,76,704,7,14029,@ZachWLambert,Zach W. Lambert,1 sa,The Venn diagram of people who are supposedly boycotting the Olympics because of the Opening Ceremonies and the people who are misgendering Imane Khelif is just a circle.
60,23,48,500,17,403266,@NBCOlympics,NBC Olympics & Paralympics,1 sa,"17-YEAR-OLD Summer McIntosh clocks an Olympic record for Olympic glory in the women's 200m fly! 

It's an American record for Regan Smith who earns silver for the U.S. 

 #ParisOlympics on NBC and Peacock"
61,4,82,478,5,19237,@ParkerMolloy,Parker Molloy,1 sa,"All this, despite there not being any trans women at the Olympics. It's truly something."
62,27,164,1574,645,113099,@mitchgoldich,Mitch Goldich,1 sa,"My Day 7 Olympics viewing guide! A monster day. The big stuff is easy to see.

But also: I unironically love trampoline, and this is the only day to see it. And French judo legend Teddy Riner competes. And hello, kayak cross!

#Paris2024"
63,18,145,467,5,4865,@shipwreckshow,Shipwreck,1 sa,"If ever was a photo to define 2024 Olympics. 

It's this one."
64,11,47,162,49,40018,@JeffDLowe,Jeff D. Lowe,2s,"#Paris2024 Viewing Schedule

TOMORROW (8/2)
Day 9 (300a-435p):
#Swimming
- Dressel in 50m Free
- Regan Smith looks for #Gold
Men's Soccer
- USA vs. Morocco in QF
#Athletics begins
- Sha'Carri first 100m Heats
#BMXRacing
- Men/Women Finals
- MUST-WATCH!

#Olympics #TeamUSA"
66,13,185,984,19,40035,@NBCOlympics,NBC Olympics & Paralympics,2s,U.S. women's foil makes history by bringing home the first-ever team GOLD!  #ParisOlympics
67,11,76,711,7,22133,@NBCOlympics,NBC Olympics & Paralympics,2s,Regan Smith secures her 4th career SILVER in the Women’s 200m Butterfly Final Results!  #ParisOlympics
68,2,12,233,1,458,@lily49547397,エレガント,2s,"此処に明日はある
　   此処に希望はある…
#Olympics 
#素敵な奮闘途中の人々
#穏やか奮闘途中の日々"
69,169,223,969,57,91129,@ShaykhSulaiman,Sulaiman Ahmed,2s,"IN THE 2020 OLYMPICS IMANE KHELIF LOST TO IRISH BOXER KELLIE HARRINGTON IN THE QUARTER FINAL

No one complained and said it’s a man and shouldn’t box. 

Why?"
70,10,87,1257,4,44808,@midwestern_ope,Midwest vs. Everybody,2s,Midwesterners if memorizing pothole locations was an Olympic sport
71,35,121,780,30,14161,@LiviesHQ,olivia’s livies,2s,"our perfect all-american olympic medalist 
@sunisalee_
 "
72,6,18,270,1,5257,@SilentGarrett,gaz,2s,good to see everyone is enjoying the olympics in a totally normal way 
73,78,340,1993,135,113893,@nntaleb,Nassim Nicholas Taleb,2s,"One has to be pretty unworldly to believe that a Sunni Muslim country would send a trans to the Olympics.

The same unworldy #idiots comment on genocide, geopolitics, and world affairs."
74,68,31,738,29,4933,@DaliaOfArabia,DaliaOfArabia,2s,"What’s your favorite sport at the Olympics 2024 in Paris, France?  #Paris2024"
75,68,31,740,29,4933,@DaliaOfArabia,DaliaOfArabia,2s,"What’s your favorite sport at the Olympics 2024 in Paris, France?  #Paris2024"
76,7,27,445,9,6692,@DjokovicFan_,Danny,2s,"Novak Djokovic congratulates Donna Vekic and Zheng Qinwen for making the Olympic final.

Novak classy as always. "
77,6,27,331,4,10964,@TeamCanada,Team Canada,2s,"A fall at the Olympics might discourage most, but not 
@EllieBlack_
. 

 Despite a fall on the beam in the individual all-around, she finished sixth for Canada’s second-best Olympic result ever in the event. 

 Here’s her take on perseverance "
78,5,52,543,11,4696,@conureCC,conure,2s,conservatives upon seeing a biological woman in the olympics that looks too masculine for their tastes:
79,2,64,298,14,6162,@FentyHeadlines,Fenty Headlines,2s,"Simone Biles (
@Simone_Biles
) was once again spotted using Rihanna's products at the #Olympics, this time Fenty Skin’s Fenty Treatz Hydrating + Strengthening Lip Oil  

 Jamie Squire"
80,3,26,260,34,5838,@Ic3Evaa,2 Cold Scorpio,2s,"""Imagine training your whole life for the Olympics just to have a ma-"""
81,58,21,458,1,2968,@michelle_byoung,Michelle_BYoung,2s,We’re still Frenching it up in honor of the Olympics homemade quiches made by me! Shrimp & feta and spinach & cream cheese! Yum!
82,9,105,390,28,12385,@pawelwargan,Paweł Wargan,2s,These Olympic Games are proving to be a disgrace exclusively because the increasingly-isolated colonial West is treating its Global South guests — from Algeria to China — with levels of incivility and arrogance that besmirch the very spirit of the Olympics.
83,42,46,165,7,6590,@unhealthytruth,Erin Elizabeth Health Nut News,2s,Valentina and I have had some public disagreements but other times I agree with her. What do you think about what she says here about men in the Olympics who say they are trans getting to hit women in boxing? Agree or don’t agree?
85,8,40,662,10,16427,@fendii_30,fendi,2s,Olympic gold is one of the highest honors for an athlete and Messi fans barely prop it lol
86,25,84,592,1,31762,@RonFilipkowski,Ron Filipkowski,2s,"Weirdo Trump went from thinking a nicked ear was going to win the election for him to an Algerian boxer bailing him out. 

Maybe he should run for Chair of the International Olympic Committee if that’s what he wants to fix."
87,61,55,511,8,36704,@JillianMichaels,Jillian Michaels,2s,"I am aware that Imane fought in the 2020 Olympics.  That said, she failed to meet gender eligibility tests at the Women's World Boxing Championships because testing revealed she had. XY chromosomes.  Now, assuming I'm crazy I can point to Fallon Fox, a transgender fighter, who fractured her biological female opponents orbital bone.  So - how bout that one. Does that seem safe or fair?  This isn't about transphobia it's about common sense.  And if we are willing to admit this needs to be discussed then maybe we can start to find solutions for inclusion and an equal playing field as each sport is different."
88,200,177,888,20,35010,@winstonpeters,Winston Peters,2s,"This is why NZFirst fought for gender rules in sports to be in our coalition agreement - for fairness and safety in women’s sports. 

All the virtue signalling disintegrates when an Olympic female boxer takes two hits from an opponent who previously failed a gender test, abandons the match, and sobs in the middle of the ring. 

It’s a shocking example of why biological men should not compete in women’s sports. 

It isn’t about being anti anyone or anything. It’s about safety and fairness in sports."
89,13,83,396,2,32401,@ndrew_lawrence,Andrew Lawrence,2s,"every single conservative take about the olympics from the opening ceremony until today has been about trans people, its so freaking bizarre"
90,9,1000,1163,98,48075,@BA_Malaysia,BAM,2s,"#Olympics | QF & SF

Day 
 RTM Klik

#Paris2024 
#Badminton
#DemiMalaysia"
91,9,37,300,3,5187,@OlympicEsporte,Olympic Esporte,2s,"Gabriel Medina na Semifinal Olímpica mais uma vez

Medina 14.77 x 9.33 Chianca

Surf nas Olimpíadas #Olympics 
#Paris2024 #OlympicGames"
92,31,75,266,9,4620,@CherylWroteIt,Cheryl E,2s,"What took place in the Olympics today with Angela Carini being punched by a man is a tragedy. Women have fought so hard for so long to achieve equal rights to men. 

It’s also important to remember that what took place today at the Olympics happens every day to Muslim women forced to live under sharia law. Like Angela Carini, Muslim women get punched and beaten by their husbands while the world stands by and allows it. 

To every single feminist and woman who supports this crime against nature and does not speak up against it, you represent everything that is wrong and broken in our society. 

No woman should ever need to compete against a man in a woman’s sport, especially not in a sport like boxing. No woman should ever be allowed to be left helpless and beaten by their husbands because of a cult or religion they’re forced to live under. It defies all logic that this is happening in 2024. And it beggars belief that there are people pretending to be world leaders that stand idly by and actually support this. 

#IStandbyAngelaCarini"
93,15,75,315,9,17848,@TheInsiderPaper,Insider Paper,2s,"JUST IN - Trump says he will keep men out of women's sports, posts today's olympic fight video"
94,11,42,232,2,13032,@JonAlba,Jon Alba,2s,"Hilariously misinformed people who have no understanding of the absurdly intense guidelines that go into Olympic qualifying carry massive sway in directing vitriol towards an undeserving person and undeserving group of people.

Sounds about right."
95,28,78,669,27,61436,@OlympicsContext,NO CONTEXT OLYMPICS,2s,Yoshiaki Oiwa took this selfie with his horse after Japan secured its first equestrian medal in 92 years.
96,3,44,266,61,9910,@Angle_wix,BR°kēñ,2s,The greatest race in Olympics 
97,419,345,1728,15,107653,@laurenboebert,Lauren Boebert,2s,"Wanting to compete in the Olympics without being beaten up by a biological male is not discrimination.

Angela could have been seriously injured and this is the response the IOC gives?

They should be absolutely ashamed of themselves."
98,3,22,185,3,2866,@vinayakkm,Vinayakk,2s,"I'm just a random person with no actual connection to the #Olympics, and yet I am unable to sleep. Just wonder what Satwik-Chirag, Nikhat, HSP, PV Sindhu, Sift and all are going through. must be so gut wrenching."
99,18,17,432,8,20199,@ManagerTactical,Tactical Manager,2s,"USMNT  sickos, this Friday we are smoking that Moroccan pack  for breakfast.

No coffee, no morning … straight to it  in the Olympics!"
100,18,97,267,1,2002,@RepHageman,Rep. Harriet Hageman,2s,"In markup of the Protection of Women in Olympic & Amateur Sports Act, I made clear that allowing men to compete as women erases our female athletes. I specifically mentioned boxing-and now we see the sad      results. Men punching women is wrong every time"
101,30,228,3665,98,54797,@brndxix,brandon*,2s,“the 2024 olympics are the worst olympics in history”
102,75,126,730,13,22013,@CarlZha,Carl Zha,2s,"How come no American ranked in shooting?

They need to add a mass-shooting category in the Olympics!"
103,285,615,5718,181,263156,@SStricklandMMA,Sean Strickland,2s,Here's the facts. The Olympics didn't test this boxer for political reasons. This boxer has failed a gender test in the past. The boxer may be intersex.. This situation was created because the Olympics failed their athletes and their fans out of political wokeness.
104,285,615,5727,181,263972,@SStricklandMMA,Sean Strickland,2s,Here's the facts. The Olympics didn't test this boxer for political reasons. This boxer has failed a gender test in the past. The boxer may be intersex.. This situation was created because the Olympics failed their athletes and their fans out of political wokeness.
105,6,20,267,2,11029,@TeamCanada,Team Canada,2s," @felixtennis
 has roared into the history books  as Canada’s most successful singles tennis player at an Olympic Games, reaching the semifinals at #Paris2024! "
106,105,519,2734,19,49929,@ananavarro,Ana Navarro-Cárdenas,3s,"ICYMI:

Earlier this week, MAGA was outraged over French drag-queens mocking the Last Supper, except it wasn’t based on the Last Supper.

Now, they’re outraged over a “transgender woman” Olympic boxer, except she was born a biological woman.

Give ‘em a gold medal for homophobia."
107,104,778,2362,110,85659,@VigilantFox,The Vigilant Fox,3s,"Megyn Kelly ERUPTS Over Olympic Games Boxing Fiasco

“We have just witnessed... a woman in a fight with a boxer who was not allowed to compete against women last year because it's a MAN!”

“Look at this below. Look at that. Walloped her.”

Kelly says, “I don’t give a sh*t!” if Imane Khelif identifies as a woman because “You're a MAN! For athletic purposes and other purposes.”

“The outcome was beyond predictable for anyone with common sense. It took 46 seconds for the woman, his opponent [Angela Carini] from Italy, to withdraw from the fight in tears.”

“This poor boxer retreated to the corner yelling, ‘This is unjust!’ as her Olympic dream came crashing down thanks to a weak-kneed International Olympic Committee that allowed this to happen.”"
108,30,135,691,22,9424,@_ajtsanchez,AJ,3s,Paris Olympics.. shut the whole thing down at this point
109,3,137,648,50,8104,@Kubaushi,Kuba,3s,"Remember Yusef, this is a sneaking mission.

#Olympics #yusefdikec"
110,21,61,1146,110,82648,@fasc1nate,Fascinating,3s,Swedish high jumper Gunhild Larking at the 1956 Olympic Games. Color by Klimbim.
111,6,50,319,6,41205,@nicekicks,Nice Kicks,3s,Anthony Edwards' adidas AE 1 is being worn on the Olympic Volleyball court 
112,22,83,388,60,21847,@ThebestFigen,The Best,3s,Mr. Bean rocking the Opening Ceremony at the London Olympic Games in 2012. 
114,15,39,247,9,52741,@IGN,IGN,3s,Tom Cruise is set to perform an epic stunt to close out the Paris 2024 Olympics and symbolically pass the flag to 2028's host city Los Angeles. https://bit.ly/4ftDCd9
115,6,45,251,2,4286,@lauraw97_,misstiano penaldo,3s,"bigotry is the thief of joy because someone getting punched once and immediately quitting is objectively an extremely funny thing to happen in a boxing match, yet we’re all arguing instead of enjoying it. “i’ve never been hit that hard before” - honey this is the olympic games"
116,54,404,900,6,27101,@mrddmia,Mike Davis,3s,"The Paris Olympics have dudes dressed as women insulting over 2 billion Christians worldwide by mocking Jesus and the Last Supper.

And a dude attempting to beat up a woman for sport.

But we must just shut up.

Or we're the bad ones."
117,12,108,325,23,46384,@THR,The Hollywood Reporter,3s,"Tom Cruise will reportedly have a starring role in the #Paris2024 Olympic Games’ Aug. 11 closing ceremony, when he may skydive to the Hollywood Sign during the orchestrated handoff to Los Angeles for the 2028 Olympiad - http://thr.cm/wMSjZoI"
118,34,48,206,4,10369,@Thekeksociety,DR. Kek,3s,"WE ALL SAW
                          A TRANS 
MAN
FIGHT  A  WOMAN
AT THE OLYMPICS 

BUT WHEN ARE WE GOING 
TO SEE A TRANS MAN 

FIGHT A MAN?"
119,10,30,170,13,6293,@ImtiazMadmood,Imtiaz Mahmood,3s,Katie Ledecky balancing a glass of chocolate milk on her head while swimming. She has won seven Olympic gold medals.
121,27,33,280,10,5421,@CamilaAccess,Camila Access,3s,"you won #CXOXO gold  

#Paris2024 #Olympics"
122,16,86,274,2,7285,@TheBreakdownAB,The Breakdown,3s,"“The Algerian Olympic Committee issued a statement Wednesday condemning what it termed “lies” and “unethical targeting and maligning of our esteemed athlete, Imane Khelif, with baseless propaganda from certain foreign media outlets.”"
123,6,28,238,5,4122,@trad_west_,Trad West,3s,"Caio Bonfim, silver in race walking, says “Jesus” in sign language on the podium of the Paris 2024 Olympics"
124,704,720,5631,111,284099,@piersmorgan,Piers Morgan,3s,"*NEW COLUMN* 
Imane Khelif is NOT a biological woman.. watching this shamefully unequal Olympic fight was sickening."
125,64,28,225,17,67005,@visegrad24,Visegrád 24,3s,IOC releases a statement on the future of boxing at the Olympics
126,11,177,628,44,8021,@quelmdn,Quel sobrevivente do AF,3s,"in the spirit of the olympics, okton champion laurent"
127,9,24,163,1,47696,@Reuters,Reuters,3s,Simone Biles wins Olympic women's gymnastics all-around gold medal http://reut.rs/4d6SCML
128,3,80,185,6,3921,@ashtonpittman,Ashton Pittman,3s,"So many women athletes—cis women who were born female—are being harassed and accused of being ""men"" this year by hateful ""transvestigator"" assholes.

There are no trans women in the Olympics this year so the anti-trans bullies are harassing cis women instead.

Bless Ilona."
129,8,42,218,6,4833,@robinmonotti,Robin Monotti,3s,Novak Djokovic watched the Opening Satanic Ritual and the Satanic Boxing and sends this message to the world from the Satanic Olympics 2024:
130,17,41,183,11,37593,@Fxhedgers,FXHedge,3s,"‘THEY GOT MEN FIGHTING WOMEN IN THE OLYMPICS’ (MSN)

Imane Khelif of Algeria and Lin Yu‑ting of Taiwan both failed gender eligibility tests and were disqualified from the Women’s World Boxing Championships last year in New Delhi. But the International Olympic Committee (IOC) no longer recognizes sanctioning from the International Boxing Association (IBA) as a result of multiple “irregularity issues.

Full article:
https://msn.com/en-us/sports/other/shields-they-got-men-fighting-women-in-the-olympics/ar-BB1qYmPL?ocid=msedgntp&pc=HCTS&cvid=13ff735e411542879aad13844353a2a2&ei=49…"
131,20,115,362,24,5874,@CovidDataReport,Data Report,3s,"This is unacceptable that we have gotten to this point.

Why Athletes Who Have COVID-19 Can Still Compete in the Paris Olympics."
132,285,226,1223,45,65957,@Olympics,The Olympic Games,3s,"As if these two couldn’t get any more ICONIC!   

Simone 2016 & 2024
Suni Lee 2020 & 2024

#Olympics #Paris2024"
133,15,36,1783,22,180128,@ItsSlumpii,Slumpii,3s,"This. People don’t realise often those who are at the olympics aren’t just the best at sports, they are also a lot of the time, naturally built for it. They have larger lung capacity and more flexible joints than the average human. They are quite literally built different."
134,11,14,220,12,21339,@goddeketal,Dr. Simon Goddek,3s,"#9 Jake Shields (
@jakeshieldsajj
) is a former UFC/MMA world champion who doesn’t hold back. He calls out anything that defies common sense, whether it’s AIPAC meddling in American elections or men knocking out women during the Olympics. A valuable addition to any timeline."
135,19,40,276,3,26445,@GeorgeTakei,George Takei,3s,Olympic Fencer Reveals She's Competing While Seven Months Pregnant—And Fans Are In Awe
137,430,65,3317,11,129278,@greg16676935420,greg,3s,Does anyone know when Michael Phelps swims? He’s always my favorite part of the Olympics
138,65,308,1750,281,109996,@ThebestFigen,The Best,3s,China displayed a wondrous performance of Synchronized Swimming at the Tokyo Olympics
139,13,331,1601,24,15335,@OnlyAWorldAway,Thembo,3s,"A woman won an Olympic event, made a cop cry, and made every conservative wet themself with a single punch. Legend."
140,63,629,7589,987,1048809,@AdrianDittmann,Adrian Dittmann,3s,Video clip of Yusuf Dikeç at the Olympics taking taking the shot that became an international sensation:
141,68,119,255,6,4533,@LangmanVince,Vince Langman,3s,"This is the man the crazy left wants you to pretend is a woman after he beat up a real woman at the Paris Olympics. 
Talk about putting lipstick on a pig"
142,5,26,236,4,12054,@TODAYshow,TODAY,3s,"Simone Biles cemented her GOAT status at the Paris Olympics with a diamond goat necklace. 

: Getty Images

https://today.com/news/paris-olympics/simone-biles-goat-necklace-paris-olympics-2024-rcna164774…"
143,4,36,193,12,8933,@LateefSaka,Lateef,3s,"This is not Angela Carini first rodeo when it comes to crying, she did it at the last Olympics. They should do some testing for that."
144,59,20,406,6,90473,@KFCBarstool,KFC,3s,I don’t know what’s worse - being The Intersex Boxer who been knocked out 9 times or the Italian Chick who threw in the towel after 45 seconds against her.  I think both of these people suck at boxing and shouldn’t be in the Olympics.
145,3,25,200,1,2176,@friendlycovid19,Covid19,3s,What’s that you say? Post-pandemic Olympics?                                                                              
146,54,120,458,6,20150,@KLoeffler,Kelly Loeffler,3s,"I owned a women’s pro sports team for a decade. It wouldn’t have survived if we had to compete against men. 

It’s not just about common sense and fairness - it’s dangerous. The Olympic Committee made an irresponsible decision on behalf of women, the Games, and their sponsors. 

He should be disqualified from further competition in the Olympics immediately."
147,31,93,450,1,7561,@DrewHLive,Drew Hernandez,3s,Growing up I never would have thought men bashing women’s faces in would become an Olympic sport
148,794,1583,6157,74,208995,@FoxNews,Fox News,3s,"'DELUSION MUST END': Professional wrestler and influencer 
@LoganPaul
 makes his opinion known after a women's Olympic fighter dropped out a match just seconds into it after being forced to compete against a biological man."
149,29,159,553,4,16401,@CitizenFreePres,Citizen Free Press,3s,"Trump -- 'We will protect women in sports from men.'

The Democrat Party wants your daughter to get beat up by men. Look at Olympic boxing and you can't reach any other conclusion.

Remember this in November."
150,17,103,621,54,6416,@ArtistRemaining,Research,3s,An alternate timeline if the Olympics locked in with Mario and Sonic
151,18,65,1962,37,36442,@CGBBURNER,CantGuardBook,3s,"Devin Booker with his sister, Maya in Paris for the Olympics. 

(Via, IG/Dbook)"
152,12,18,320,4,13709,@BucksMuse,Bucks Muse,3s,"Giannis    vs    AD in the Olympics:

30.5 PPG vs 7.5  PPG
8.0 RPG   vs  7.5  RPG
2.5 APG   vs  2.0 APG
67.6% FG vs  53.7 FG%

How is this a debate"
154,15,3,188,1,3870,@akafacehots,aka,3s,Nobody cares what you want George.. Men shouldn't be fighting women in olympic sports
155,238,648,2679,115,132893,@RealAlexJones,Alex Jones,3s,BREAKING VIDEO: Male Olympic Boxer Savagely Assaults Woman On International Television
156,4,34,402,18,12125,@FluenceArt,Fluence Art,3s,"I see what you mean 

#Olympics #YusufDikec"
157,14,47,273,6,9626,@OliLondonTV,Oli London,3s,"The fund will help provide support and encouragement to the athlete, after her Olympic dreams were shattered earlier today."
